[-0.5959596  -1.         -1.09090909 -0.16666667]---[5626.557, 23.22, 53.301]
[-0.5959596  -1.         -1.09090909 -0.16666667]---[5626.557, 23.22, 53.301]
[-1.06060606 -1.16666667 -1.18181818 -0.16666667]---[5586.255, 22.9, 55.248999999999995]
[-1.06060606 -1.16666667 -1.18181818 -0.83333333]---[5494.0109999999995, 22.78, 54.415]
[-0.5959596  -1.         -1.09090909 -0.16666667]---[5626.557, 23.22, 53.301]
[-1.06060606 -1.16666667 -1.18181818 -0.16666667]---[5586.255, 22.9, 55.248999999999995]
[0.2875     0.06666667 0.04       0.32      ]---[5626.557, 23.22, 53.301]
[0.99375    0.93333333 0.92       0.96      ]---[5844.356, 24.98, 47.771]
[0.         0.66666667 0.96       0.        ]---[5668.595, 23.0, 51.592]
[0.99375 0.      1.      0.     ]---[5982.62, 25.48, 46.526]
[0.   0.   0.   0.96]---[5604.5869999999995, 23.01, 54.70399999999999]
[0.99375    0.66666667 0.         0.        ]---[5495.735, 22.87, 48.49]
[0.         0.66666667 0.         0.96      ]---[5637.213000000001, 23.09, 56.943000000000005]
[0.99375 0.      0.96    1.     ]---[5873.467, 25.08, 49.953]
[0.         0.33333333 0.         0.96      ]---[5484.613, 22.59, 53.938]
[0.   0.   0.96 0.96]---[5496.72, 22.54, 54.606]
[-0.5959596  -1.         -1.09090909 -0.16666667]---[5626.557, 23.22, 53.301]
[-1.06060606 -1.16666667 -1.18181818 -0.16666667]---[5586.255, 22.9, 55.248999999999995]
[-1.06060606 -1.16666667 -1.18181818 -0.83333333]---[5494.0109999999995, 22.78, 54.415]
[ 0.50505051 -0.83333333 -0.63636364  1.08333333]---[5774.3009999999995, 24.76, 50.481]
[-1.06060606 -1.16666667 -1.18181818  1.16666667]---[5604.5869999999995, 23.01, 54.70399999999999]
[ 0.54545455 -1.16666667  1.          1.25      ]---[5873.467, 25.08, 49.953]
[0.49494949 0.83333333 0.90909091 1.        ]---[5984.289000000001, 25.75, 47.815]
[-1.06060606 -1.16666667 -1.18181818  0.5       ]---[5612.808000000001, 22.92, 55.446999999999996]
[-1.06060606 -1.16666667 -0.45454545  1.16666667]---[5539.839, 22.71, 56.577]
[-1.06060606 -1.16666667  1.          1.16666667]---[5496.72, 22.54, 54.606]
[-1.06060606 -1.16666667  0.27272727  1.16666667]---[5571.946, 22.86, 55.053000000000004]
[-1.06060606 -0.33333333 -1.18181818  1.16666667]---[5484.613, 22.59, 53.938]
[-1.06060606 -1.16666667 -0.45454545  0.5       ]---[5691.181, 23.1, 52.271]
[-0.97979798 -1.16666667 -1.09090909  0.25      ]---[5505.844, 22.59, 57.585]
[-1.06060606 -1.16666667 -0.45454545 -0.83333333]---[5569.62, 22.48, 50.812]
[-0.52525253 -1.16666667 -1.18181818  1.16666667]---[5665.366999999999, 23.54, 52.733000000000004]
[-1.06060606  0.5        -1.18181818  1.16666667]---[5637.213000000001, 23.09, 56.943000000000005]
[-1.06060606  0.5        -1.18181818  0.5       ]---[5568.923000000001, 22.8, 56.519]
[-1.06060606  0.5        -0.45454545  1.16666667]---[5674.121999999999, 23.35, 54.253]
[-1.06060606 -0.33333333 -1.18181818  0.5       ]---[5601.795999999999, 23.03, 52.49]
[-1.05050505 -0.5        -0.72727273  1.        ]---[5527.185, 22.72, 57.446999999999996]
[-0.5959596  -1.         -1.09090909 -0.16666667]---[5626.557, 23.22, 53.301]
[-0.52525253 -1.16666667 -1.18181818 -0.16666667]---[5590.9890000000005, 23.26, 50.953]
[ 0.01010101 -1.16666667 -1.18181818 -0.16666667]---[5513.1630000000005, 23.12, 51.051]
[-0.16161616 -0.66666667 -0.90909091  0.        ]---[5716.147, 24.12, 50.003]
[-0.16161616 -0.66666667 -0.90909091  0.25      ]---[5700.21, 23.9, 48.07]
[-0.16161616 -0.66666667 -0.81818182  0.        ]---[5770.101, 24.28, 46.841]
[-0.16161616 -0.66666667 -0.72727273 -0.08333333]---[5778.665, 24.23, 46.876999999999995]
[ 0.01010101 -1.16666667 -0.45454545 -0.16666667]---[5808.227, 24.21, 47.236999999999995]
[-0.52525253 -1.16666667 -0.45454545 -0.16666667]---[5737.173000000001, 23.93, 50.107]
[-0.16161616 -0.83333333 -0.27272727  0.08333333]---[5695.435, 23.79, 47.978]
[ 0.01010101 -1.16666667 -0.45454545  0.5       ]---[5801.209, 24.45, 49.398999999999994]
[-0.52525253 -1.16666667 -0.45454545  0.5       ]---[5765.887, 23.85, 50.288999999999994]
[ 0.39393939 -1.16666667 -0.72727273  0.16666667]---[5778.09, 24.42, 50.376999999999995]
[ 0.01010101 -1.16666667 -1.18181818  0.5       ]---[5477.103, 22.99, 49.236999999999995]
